Data,Kategoria,Wiek_Klienta,Wartosc_Zamowienia,Typ_Urzadzenia,Ocena_Produktu
2025-04-13,Akcesoria,57,167.7,Desktop,3
2025-12-15,Smartfony,20,2712.024,Mobile,5
2025-09-28,Laptopy,43,3412.63,Mobile,5
2025-04-17,Smartfony,18,1961.33,Mobile,5
2025-03-13,Smartfony,18,1976.15,Mobile,5
2025-07-08,Audio,54,557.9,Mobile,5
2025-01-21,Laptopy,49,4777.92,Desktop,4
2025-04-13,Akcesoria,24,142.27,Mobile,4
2025-05-02,Smartfony,20,2587.74,Desktop,4
2025-08-03,Akcesoria,29,180.15,Desktop,2
2025-11-27,Akcesoria,33,232.58199999999997,Mobile,5
2025-03-29,Akcesoria,33,129.42,Mobile,4
2025-04-10,Laptopy,49,5129.9,Desktop,3
2025-12-26,Laptopy,31,5496.96,Mobile,5
2025-06-01,Laptopy,47,3946.08,Mobile,5
2025-05-11,Audio,25,730.0,Desktop,4
2025-05-30,Akcesoria,39,143.49,Mobile,5
2025-11-05,Audio,21,1066.7160000000001,Desktop,5
2025-09-15,Smartfony,29,3158.86,Desktop,3
2025-12-10,Akcesoria,57,165.53599999999997,Mobile,5
2025-10-21,Audio,20,437.56,Mobile,3
2025-07-11,Smartfony,26,1861.6,Mobile,5
2025-10-04,Smartfony,25,2182.46,Mobile,5
2025-06-10,Akcesoria,51,143.91,Mobile,4
2025-11-10,Akcesoria,45,228.802,Desktop,4
2025-01-22,Akcesoria,30,148.86,Mobile,4
2025-09-10,Smartfony,23,2124.43,Mobile,5
2025-08-24,Akcesoria,43,172.61,Desktop,4
2025-12-11,Smartfony,34,3907.3579999999993,Desktop,4
2025-02-18,Smartfony,25,2528.8,Desktop,3
2025-02-28,Smartfony,25,2307.33,Mobile,4
2025-06-19,Akcesoria,22,205.69,Desktop,1
2025-07-07,Akcesoria,49,134.06,Mobile,4
2025-09-28,Akcesoria,37,107.24,Mobile,5
2025-07-09,Laptopy,46,3912.14,Mobile,5
2025-06-24,Audio,45,622.51,Desktop,4
2025-02-20,Laptopy,42,3116.39,Mobile,5
2025-12-30,Akcesoria,39,183.98799999999997,Mobile,5
2025-02-24,Laptopy,31,3649.14,Mobile,5
2025-09-01,Laptopy,37,3196.53,Mobile,5
2025-11-16,Laptopy,38,6564.697999999999,Desktop,4
2025-05-11,Laptopy,39,5086.06,Desktop,3
2025-11-03,Akcesoria,43,269.892,Desktop,2
2025-05-15,Akcesoria,42,153.77,Mobile,5
2025-01-21,Smartfony,27,2727.35,Mobile,4
2025-11-25,Audio,28,824.026,Mobile,4
2025-06-16,Laptopy,53,3513.31,Mobile,5
2025-10-01,Akcesoria,30,147.89,Mobile,5
2025-03-30,Audio,25,748.0,Desktop,4
2025-11-12,Akcesoria,57,199.64,Mobile,4
2025-01-14,Smartfony,31,2294.3,Mobile,4
2025-08-30,Audio,55,485.28,Mobile,5
2025-09-22,Akcesoria,41,119.58,Mobile,5
2025-12-12,Laptopy,46,4985.61,Mobile,5
2025-02-22,Smartfony,26,3037.23,Desktop,5
2025-12-06,Akcesoria,48,237.73399999999998,Desktop,5
2025-04-02,Akcesoria,58,186.35,Desktop,4
