Wiek,Płeć,Kanał_Zakupów,Wydatki_PLN,Liczba_Zakupów
56,Mężczyzna,Online,148.07,4
46,Kobieta,Online,230.15,4
32,Mężczyzna,Online,279.71,4
60,Mężczyzna,Online,159.88,1
25,Mężczyzna,Online,238.7,5
38,Kobieta,Online,181.5,3
56,Mężczyzna,Online,243.32,6
36,Mężczyzna,Stacjonarny,201.37,4
40,Kobieta,Online,217.05,4
28,Kobieta,Stacjonarny,218.01,6
28,Mężczyzna,Online,266.29,6
41,Kobieta,Online,252.36,7
53,Kobieta,Stacjonarny,240.83,5
57,Mężczyzna,Online,136.95,1
41,Kobieta,Online,169.95,3
20,Mężczyzna,Online,251.83,7
39,Kobieta,Online,189.43,4
19,Mężczyzna,Online,265.36,6
41,Kobieta,Online,274.8,7
61,Mężczyzna,Stacjonarny,256.91,6
47,Kobieta,Online,192.39,6
55,Mężczyzna,Online,186.84,2
19,Kobieta,Online,261.28,4
38,Mężczyzna,Stacjonarny,223.3,3
50,Kobieta,Online,221.63,5
29,Mężczyzna,Online,287.89,7
39,Mężczyzna,Online,267.63,5
61,Kobieta,Stacjonarny,354.27,7
42,Mężczyzna,Online,242.77,4
44,Kobieta,Online,304.38,9
59,Kobieta,Online,146.44,2
45,Kobieta,Stacjonarny,323.65,7
33,Mężczyzna,Online,227.28,5
32,Mężczyzna,Online,233.72,7
64,Kobieta,Stacjonarny,273.21,4
61,Mężczyzna,Stacjonarny,263.26,5
20,Kobieta,Online,278.43,8
54,Kobieta,Stacjonarny,234.8,7
24,Kobieta,Online,298.2,5
38,Kobieta,Online,207.89,7
26,Kobieta,Online,286.22,9
56,Mężczyzna,Stacjonarny,323.11,10
35,Kobieta,Online,223.22,4
21,Kobieta,Online,304.28,5
42,Kobieta,Online,242.37,8
31,Kobieta,Stacjonarny,302.12,9
26,Mężczyzna,Online,239.81,4
43,Kobieta,Online,249.3,4
19,Mężczyzna,Online,212.46,5
37,Mężczyzna,Online,212.67,4
45,Mężczyzna,Online,226.64,3
64,Mężczyzna,Stacjonarny,333.73,10
24,Kobieta,Online,215.96,3
61,Mężczyzna,Online,203.94,3
